State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
PA,163,806,403-2562,no,yes,300,8.1622040217391,3,7.579173703343681,3.9330349941938625,4,6.508638877091394,4.065759457683862,100,5.1116239145545554,4.9281602056057885,6,5.673203040696216,3,True.
SC,15,836,158-8416,yes,no,0,10.018992664834252,4,4.226288822198435,2.3250045529370977,0,9.97259241534841,7.141039871521733,200,6.436187619334115,3.2217476231887012,6,2.559749162329034,8,False.
MO,131,777,896-6253,no,yes,300,4.708489916519045,3,4.768159882372771,4.53746627560553,3,4.566714501754875,5.363234681368032,100,5.142450865432122,7.139023052596313,2,6.254156588270942,4,False.
WY,75,878,817-5729,yes,yes,700,1.2687337723540173,3,2.567641585633793,2.528747882267883,5,2.3336236298897663,3.773585578112562,450,3.8144134221879837,2.245779327608127,6,1.0806920414898902,6,False.
WY,146,878,450-4942,yes,no,0,2.696177237539812,3,5.908915868906159,6.015337072056723,3,3.6704077483598114,3.7516733722962083,250,2.7968119977118326,6.905545285710016,4,7.134342911307563,6,True.
VA,83,866,454-9110,no,no,0,3.6347759671675437,7,4.804891886787017,6.05194433617822,5,5.278436964531922,2.937879986797766,300,4.817958439785448,4.948816088347728,4,5.13532274057697,5,False.
IN,140,737,331-5751,yes,no,0,3.2294202559197576,4,3.1650820605916827,2.440152809792223,8,0.2645430898924843,2.3522738978288897,300,3.8691763484913535,5.393439248879196,4,1.784764820129817,4,False.
LA,54,766,871-3612,no,no,0,0.5679201829579954,6,1.950098388177361,4.507026828401553,0,4.473085755958401,0.6887851476456044,400,6.132136688828527,5.0127472409617235,5,0.41742093904546174,8,False.
MO,195,777,249-5723,yes,no,0,5.811115761837079,6,4.3310650166800375,8.104126146210893,2,4.475034292704634,4.208352014531881,250,5.974575349503846,4.750152912633531,7,3.320310789878026,7,True.
AL,104,657,767-7682,yes,no,0,2.714429979003967,7,5.1386692037471695,8.529943776515548,6,3.3211210082053513,2.342176971074203,300,4.32896574277208,3.4335541816306137,5,5.677057853136211,4,False.
CA,137,676,185-4876,no,yes,800,3.8590416096943643,3,3.8059029204929957,1.9581225192006926,2,5.865065967518976,5.601397036305559,350,3.436449462965112,4.95536629266736,9,1.0352312071751721,7,False.
RI,78,827,276-8625,yes,no,0,6.872939363798926,2,6.5341573444396674,3.696520173780587,2,5.826586241705807,3.497215843772744,150,6.71005192333686,6.194516763474683,4,3.0729145982225017,7,True.
GA,184,716,815-7162,no,no,0,1.4777585908775288,6,5.532156653278619,6.718964555206192,8,1.0611492722421776,2.0590227544009077,350,0.9596329841057516,6.617656599153812,7,6.191955343887494,3,False.
PA,150,806,610-2756,yes,no,0,8.735239799298267,3,5.607474258959999,6.9598932990316955,1,8.167985577053265,2.8393362613111695,150,5.14919227584111,5.342917777959637,6,8.14319563456564,4,True.
ND,114,786,968-6867,yes,yes,300,6.215980906905121,4,6.705125866787917,5.839379502770306,4,4.240211918717716,2.700893798451043,250,7.533492315865429,5.491468774700732,5,0.4706450916087448,8,True.
MS,114,778,756-1787,no,no,0,3.33326866677303,3,4.888256309224817,4.779260734136049,1,4.864775249744062,2.849921550401593,200,5.2064216516958215,4.59893792484026,3,4.771388460229753,8,True.
WY,48,878,889-7926,yes,yes,100,9.81381371194712,3,7.7594092909373025,8.670985701133528,3,6.4727321760828795,4.728587845392953,250,6.254585699182173,4.284906030801764,5,5.661948755658884,5,True.
NY,142,788,248-9207,yes,no,0,0.6316071077050864,4,0.8173635604465206,4.399597542539205,0,2.0244823189277863,3.1565048711756205,200,6.124743096828062,5.644293002568544,3,1.532017351647959,10,True.
NJ,111,787,843-5355,yes,yes,700,11.615618559063641,2,7.898472493483515,9.791103721307325,0,7.375764469574867,5.14423538882828,250,6.855467798061651,4.413320414031617,4,8.499379730829096,6,False.
NM,63,787,360-2799,yes,yes,300,7.3312548654509815,3,8.456739885605108,9.617906177027093,6,3.818931666109286,6.52877871456911,250,4.53991711402729,4.952046946714548,3,8.911840816008663,5,False.
